INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
2013189624,2.01319E+15,2604,0,fraud-identity-theft,white-collar-crime,4/25/2013 8:00,4/29/2013 8:00,4/29/2013 8:29,4230 N OSAGE ST,3139122,1707519,-105.0050462,39.774906,1,115,sunnyside
2013190267,2.01319E+15,2399,4,theft-stln-veh-const-eqpt,auto-theft,4/29/2013 1:19,4/29/2013 3:27,4/29/2013 16:31,5131 N FRANKLIN ST,3149247,1712992,-104.9689115,39.7897732,2,221,elyria-swansea
2013189866,2.01319E+15,4104,0,liquor-possession,drug-alcohol,4/29/2013 11:49,,4/29/2013 12:08,E 14TH AVE / N FRANKLIN ST,3149481,1694282,-104.9684684,39.7384076,6,613,cheesman-park
2013186935,2.01319E+15,2604,1,fraud-criminal-impersonation,white-collar-crime,4/27/2013 16:30,4/27/2013 16:34,4/27/2013 16:34,5000 BLK N URSULA WAY,3186290,1712768,-104.8371057,39.78849,5,521,montbello
2013189644,2.01319E+15,1316,1,harassment-stalking-dv,public-disorder,4/29/2013 10:47,,4/29/2013 10:47,59 N CORONA ST,3147711,1686705,-104.9749178,39.7176356,4,422,speer
2013190527,2.01319E+15,2303,0,theft-shoplift,larceny,4/29/2013 18:30,4/29/2013 18:40,4/29/2013 18:53,,3183681,1709991,-104.8464604,39.7809187,5,524,montbello
2013190771,2.01319E+15,2202,0,burglary-residence-by-force,burglary,4/29/2013 15:59,4/29/2013 21:00,4/29/2013 22:37,3525 W CUSTER PL,3131162,1682746,-105.0338172,39.7070151,4,414,westwood
2013190385,2.01319E+15,2404,0,theft-of-motor-vehicle,auto-theft,4/29/2013 18:07,,4/29/2013 18:07,710 N DELAWARE ST,3142809,1690003,-104.9922775,39.7267657,6,617,lincoln-park
20136003913,2.0136E+16,2999,1,criminal-mischief-mtr-veh,public-disorder,4/26/2013 4:40,4/26/2013 4:40,4/26/2013 8:19,3200 BLK N GILPIN ST,3149963,1702682,-104.9665791,39.7614592,2,212,whittier
2013190474,2.01319E+15,3599,0,drug-pcs-other-drug,drug-alcohol,4/29/2013 20:03,,4/29/2013 22:50,1955 S CHEROKEE ST,3143147,1673370,-104.9914069,39.6810993,4,424,overland
